Item,Price,Quantity,Source,Useage
300mm MGN12H Linear Rail,$28.31,2,https://a.co/d/0eWkF5vn,
350mm 3090 Aluminum Extrusion,$27.81,1,https://www.aliexpress.us/item/3256809618764763.html?,
250mm 4040 Aluminum Extrusion,N/A,1,Already Owned,
OMC 2004s1 Nema 17 Stepper Motor,13.77,1,https://a.co/d/00oIHjpc,
M8 Screws,N/A,4,Self Purchasing,
M5 Screws,N/A,Bulk,Already Owned,
M3 Screws,N/A,Bulk,Already Owned,
695 Bearings,N/A,2,Already Owned,
6mm GT2 Pulley 5mm Bore,N/A,2,Already Owned,
6mm GT2 Idler 5mm Bore,N/A,2,Already Owned,
Silicone Spacers,N/A,4,Self Purchasing,
3030 M3 T Nuts,$5,20,https://www.aliexpress.us/item/3256807638725964.html?,
Total,$74.89,,,
